ID,Latitude,Longitude,Element,Firstyear,Lastyear
USC00041194, 34.1867,-118.3481,ACMH,1965,1966
USC00041194, 34.1867,-118.3481,ACSH,1965,1966
USC00045983, 41.3217,-122.3172,AWND,1984,1985
USC00050109, 40.1550,-103.1417,AWND,2011,2019
USC00051996, 40.8600,-102.8031,AWND,2011,2019
USC00052631, 39.3811,-104.6292,AWND,2011,2011
USC00052947, 40.6483,-102.8594,AWND,2011,2012
USC00053005, 40.5764,-105.0858,AWND,2011,2019
USC00053261, 39.7053,-105.6997,AWND,2011,2018
USC00058690, 40.9656,-105.2186,AWND,2011,2019
USC00058995, 39.7750,-105.1169,AWND,2011,2019
USC00060808, 41.2003, -73.1569,AWND,2012,2018
USC00061762, 41.4000, -73.4167,AWND,2011,2011
USC00080211, 29.7258, -85.0206,ACMH,1965,1992
USC00080211, 29.7258, -85.0206,ACSH,1965,1992
USC00080211, 29.7258, -85.0206,AWND,1984,2013
USC00080211, 29.7258, -85.0206,PSUN,1965,1983
USC00085612, 28.1136, -80.6539,AWND,2012,2013
USC00086634, 28.5083, -81.5467,AWND,2011,2019
USC00088051, 28.7300, -80.8794,AWND,2011,2013
USC00107357, 47.6428,-115.9172,AWND,2011,2018
USC00111577, 41.7372, -87.7775,ACMH,1965,1979
USC00111577, 41.7372, -87.7775,ACSH,1965,1979
USC00111577, 41.7372, -87.7775,PSUN,1965,1979
USC00116344, 40.1100, -87.9567,AWND,2011,2018
USC00136910, 40.8250, -92.8925,AWND,2011,2019
USC00143686, 38.6644, -94.8900,AWND,2011,2018
USC00172426, 44.9067, -66.9919,AWND,2011,2013
USC00173570, 44.3744, -70.3164,AWND,2011,2018
USC00178792, 45.4353, -67.7214,AWND,2011,2019
USC00180700, 39.0303, -76.9314,AWND,2016,2016
USC00181790, 39.6403, -77.6978,AWND,2017,2018
USC00185934, 39.7194, -76.8028,AWND,2011,2018
USC00204280, 47.2753, -88.4169,AWND,2018,2019
USC00218947, 45.8619, -96.5650,AWND,2011,2019
USC00235050, 39.7506, -92.5064,AWND,2011,2018
USC00236777, 37.9050, -93.3167,AWND,2011,2018
USC00237862, 39.3903, -94.5553,AWND,2011,2018
USC00240770, 48.1347,-110.0592,AWND,2013,2013
USC00243113, 47.8306,-110.6608,AWND,2011,2018
USC00243346, 48.2922,-111.5683,AWND,2011,2012
USC00244558, 48.3042,-114.2636,ACMH,1965,1994
USC00244558, 48.3042,-114.2636,ACSH,1965,1994
USC00244558, 48.3042,-114.2636,AWND,1984,2019
USC00252037, 42.7364, -97.4969,AWND,2011,2016
USC00255555, 41.9178,-103.4842,AWND,2011,2011
USC00267953, 39.9508,-119.5986,AWND,2012,2019
USC00274556, 44.4958, -71.5767,AWND,2011,2018
USC00295273, 33.8225,-108.9417,AWND,2011,2015
USC00295968, 34.6242,-106.3103,AWND,2011,2019
USC00297180, 34.3447,-108.4922,AWND,2011,2018
USC00300364, 40.9342, -72.7397,AWND,2012,2018
USC00300443, 43.0297, -78.1683,AWND,2011,2019
USC00306276, 41.1322, -72.2583,AWND,2017,2017
USC00307742, 41.3325, -73.8369,AWND,2018,2018
USC00311975, 35.4111, -80.5833,AWND,2013,2019
USC00316805, 35.2719, -82.6475,AWND,2012,2012
USC00318450, 35.3950, -76.3261,AWND,2018,2019
USC00319675, 36.1306, -80.5481,AWND,2011,2019
USC00368361, 41.8161, -80.4250,AWND,2011,2019
USC00403447, 35.0761, -89.7430,AWND,2011,2019
USC00412114, 31.3072, -95.4508,AWND,2011,2018
USC00412485, 31.9961,-104.8333,AWND,2011,2013
USC00413340, 28.9844, -95.3808,AWND,2011,2018
USC00416739, 27.4467, -97.2967,AWND,2011,2011
USC00418040, 35.7047,-101.5492,AWND,2011,2019
USC00418862, 30.5844, -97.4156,AWND,2011,2018
USC00425654, 38.4017,-113.0161,ACMH,1984,1984
USC00425654, 38.4017,-113.0161,ACSH,1965,1988
USC00425654, 38.4017,-113.0161,AWND,1984,1989
USC00425654, 38.4017,-113.0161,PSUN,1972,1983
USC00436500, 42.7917, -73.2228,AWND,2011,2013
USC00451350, 47.8344,-120.0006,AWND,2014,2018
USC00455946, 48.8742,-117.8667,AWND,2018,2018
USC00456747, 46.6461,-119.9061,AWND,2012,2018
USC00459012, 47.6497,-120.0800,AWND,2011,2018
USC00464840, 39.4214, -79.0050,AWND,2011,2018
USC00481139, 41.0706,-105.2519,AWND,2011,2011
USC00487105, 42.4717,-106.8528,AWND,2012,2013
USC00500279, 61.1167,-149.7333,AWND,2011,2011
USC00503299, 61.1000,-149.6936,AWND,2014,2016
USC00504594, 55.4519,-131.8183,AWND,2011,2018
USC00508525, 59.4547,-135.3136,AWND,2011,2011
USS0005J10S, 40.4100,-105.8200,AWND,2016,2019
USS0005J39S, 40.3100,-105.6400,AWND,2018,2019
USS0005J40S, 40.4300,-105.7300,AWND,2018,2019
USS0005L12S, 38.2900,-105.8500,AWND,2016,2019
USS0005M03S, 37.2100,-105.2000,AWND,2016,2019
USS0005M13S, 37.9700,-105.5400,AWND,2016,2019
USS0005N04S, 36.1300,-105.5300,AWND,2012,2019
USS0005N14S, 36.5800,-105.4600,AWND,2010,2019
USS0005N16S, 36.9900,-105.2600,AWND,2011,2019
USS0005N18S, 36.1900,-105.5600,AWND,2011,2019
USS0005N23S, 36.7900,-105.2400,AWND,2010,2019
USS0005N24S, 36.0700,-105.6300,AWND,2013,2019
USS0005P08S, 35.7800,-105.5400,AWND,2011,2017
USS0005P09S, 35.7700,-105.7800,AWND,2011,2019
USS0005R01S, 33.4000,-105.7900,AWND,2002,2014
USS0006J01S, 40.5300,-106.7800,AWND,2003,2019
USS0006J29S, 40.5400,-106.6800,AWND,2016,2019
USS0006K01S, 39.3600,-106.0600,AWND,2007,2019
USS0006K12S, 39.8000,-106.0300,AWND,2007,2018
USS0006L03S, 38.4900,-106.3400,AWND,2016,2019
USS0006L11S, 38.8900,-106.9500,AWND,2002,2004
USS0006M22S, 37.0200,-106.4500,AWND,2016,2019
USS0006N03S, 36.9600,-106.6600,AWND,2011,2019
